Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 07/07;11,111979166666665;90,41666666666667;16,965438576953465;16,738005194845944;76,3799275454057;75,40898821825253 
 07/08;11,7578125;94,86979166666667;16,571218421261326;16,246169750083955;78,59834277606153;78,0579261893378 
 07/09;13,34114583333333;93,140625;16,54067711339356;16,161120983756978;78,59896754132169;78,33586484961461 
 07/10;14,5234375;94,64583333333333;17,281563116578785;16,90198002178088;75,04478226553545;74,79077564590297 
 07/11;13,942187499999998;92,4375;17,446439462860835;17,08975006782728;74,25351783375138;73,90172866238952 
 07/12;16,292708333333338;77,90104166666667;17,54276516448895;17,21271051007839;73,65708371653833;73,19315405643596 
 07/13;16,9109375;73,02083333333333;18,351095893376944;18,05557266778588;69,85325192439056;69,25056727272318 
 07/14;17,994270833333329;86,34375;19,07535659131342;18,823722749200227;66,66610730812818;65,90026082123279 
 07/15;17,422395833333334;83,328125;18,673381254792387;18,452524737881768;68,1663131863693;67,28237468284867 
 07/16;17,8171875;76,72916666666667;19,228484302492768;19,044846143403558;65,84862288894414;64,82017645877436 
 07/17;15,432291666666659;75,65104166666667;19,213943863547717;19,04589648395656;65,73472020719889;64,64715163330243 
 07/18;14,063541666666671;80,79166666666667;19,02348098241981;18,80045881840376;66,78628529680262;65,90471760914251 
 07/19;12,854687500000003;86,33854166666667;18,354591896495078;18,034430178685058;69,87704534365854;69,36945519184245 
 07/20;14,96458333333333;94,89583333333333;18,106389082254287;17,703579292987809;70,91924749604138;70,77160397648925 
 07/21;15,053125;96,57291666666667;18,04175351926209;17,612774444211405;70,97720841957073;70,95777235348656 
 07/22;15,19270833333333;78,3125;17,95087611150867;17,503641675495115;70,92340558772064;70,97932487566958 
 07/23;15,873958333333335;88,28125;17,616405172332518;17,223390258659177;72,09134758950613;71,92146438956563 
 07/24;11,06875;82,30208333333333;16,794918621603974;16,430836338236074;76,49501825015283;76,18189249405639 
 07/25;8,192708333333334;81,15625;15,805401968307964;15,34910851091532;82,04840537151904;82,1622981317734 
 07/26;9,075000000000001;90,98958333333333;15,612118584202618;15,06054602755629;83,24546596321706;83,8739121750772 
 07/27;8,231770833333334;97,91145833333333;15,11296670971157;14,494713659356109;86,33403298426849;87,38347111071617 
 07/28;8,965104166666665;97,38020833333333;14,795992804640198;14,060558465605567;88,20653181625932;89,958324830802 
 07/29;15,576041666666667;96,484375;15,286610017911363;14,592009618758878;84,98770145977837;86,47914364962394 
 07/30;17,2203125;92,90104166666667;15,955353825368837;15,43712056157441;81,03919570100899;81,53476002343888 
 07/31;18,225520833333336;90,875;16,276532753399115;15,885962237334411;79,16188970387391;79,00069833936429 
 08/01;18,368229166666667;90,875;16,914792923687178;16,64048974325033;75,7625154793164;75,04079779340923 
 08/02;18,0515625;92,45833333333333;18,055961545437709;17,868455915699028;70,37250748786146;69,29376239948594 
 08/03;20,39479166666667;81,36458333333333;18,97365644002831;18,810577277509649;66,07937154550015;64,97063206494754 
 08/04;13,674479166666666;79,88541666666667;18,010376679972919;17,88492912890081;71,11075093059394;69,77229474893139 
 08/05;10,159895833333334;80,97395833333333;16,578800748830383;16,36819364425819;78,41005091905234;77,32275077021075 
 08/06;15,067187499999998;88,94270833333333;16,64634349273254;16,28815118950478;77,47356601141827;77,08312898334755 
 08/07;15,927604166666669;88,1875;16,81364812068696;16,50843627979012;76,71532566410407;76,12500869134776 
 08/08;10,897395833333333;77,24479166666667;15,698155350991107;15,39272428034981;83,10744080948578;82,46675549722058 
 08/09;11,308333333333332;89,484375;15,053538756388216;14,685473837696195;86,12147247826266;85,80039741027332 
 08/10;16,637499999999997;89,90625;15,471111407001447;15,071625946656996;83,02264147170853;82,88456241196029 
 08/11;14,086979166666666;75,453125;16,932012382788803;16,61773426611076;75,906150815705;75,3387974128443 
 08/12;11,759375000000004;91,0;16,6785548256417;16,327559758246946;77,34072107611742;76,96526457462402 
 08/13;9,092708333333333;87,68229166666667;15,801924584212764;15,371002620867117;82,49272037304614;82,49774741944366 
 08/14;9,522395833333336;90,52083333333333;14,812079063814709;14,30436991699999;87,92395049761451;88,36460256484919 
 08/15;10,377083333333334;90,484375;14,751008429799242;14,206097955421124;88,23012138527268;88,90081176915887 
 08/16;14,600000000000004;85,68229166666667;16,040248599335006;15,511701009807882;81,11689726921945;81,62449855508578 
 08/17;16,484895833333338;95,92708333333333;17,062520247563105;16,613532244938548;75,80359827847005;75,87765038572465 
 08/18;15,922395833333331;96,11458333333333;16,760838269647917;16,337437756683959;77,06038100782584;77,05908144693821 
 08/19;15,375;96,65625;16,837710418923199;16,446688466282415;76,61240375461623;76,44264413601987 
 08/20;13,987500000000003;97,61458333333333;17,29501869365145;16,942994984926786;74,56310920516556;74,18256912308149 
 08/21;18,416145833333336;94,78125;17,47444033900709;17,11045991832317;73,36358345497949;73,06429161576506 
 08/22;19,382291666666665;83,92708333333333;17,837794215572964;17,582556303158215;71,58095144402289;70,80466974510671 
 08/23;17,144791666666668;81,07291666666667;18,176531633017885;17,981674989369546;69,91407899003402;68,87845992339787 
 08/24;25,102083333333338;95,84375;19,807125798615677;19,57794367132011;62,60886410007627;61,81810922683346 
 08/25;16,022395833333336;86,16666666666667;19,931608235124896;19,857608325993696;62,29131548128894;60,900776039764547 
 08/26;11,182291666666665;87,69791666666667;18,69623488158367;18,50412043826437;67,70592797483549;66,68743239273465 
 08/27;9,486458333333334;81,27604166666667;18,0631095192867;17,68146053058569;70,96113877044248;70,67644525286467 
 08/28;9,391145833333331;76,296875;18,209523780579287;17,67026506228318;70,5787877918987;70,987286893102 
 08/29;12,145833333333334;64,96875;18,137848375244457;17,524042717096955;70,8310654112281;71,60482529878145 
 08/30;14,923958333333332;69,03645833333333;18,257640247958915;17,66664383840207;70,0211646314292;70,69401676582824 
 08/31;18,61041666666667;72,40625;19,016418513966085;18,484388722498726;66,33470334277833;66,72964213283147 
 09/01;14,559895833333334;78,57291666666667;19,47517997902362;19,041460946346697;64,64587667664752;64,608478311492 
 09/02;15,1703125;63,46875;19,67434337229434;19,215698175079539;63,73601892191252;63,80745413597106 
 09/03;17,056250000000003;81,65104166666667;20,035865173545984;19,568891043506345;62,67800498980518;62,77321003442726 
 09/04;16,26458333333333;85,24479166666667;19,19427267530169;18,759215631625645;66,3291794270496;66,32690825862831 
